comment,toxic
invite hi  i still did not have time to write the articles about the fundamentals of the romani culture and society  that would have permitted a normal presentation  beyond the stereotypes i hope in the near future i ll manage to do it  from the last discussion i just managed to organize better category romani people by country and category romani people by occupation and create some more articles about romani persons ,0
i asked him a question about recall  maybe that would make you less troubled account,0
says no consensus was ever reached as he reverted my edits here ,0
i find it difficult to control my emotions and i still feel that mr logy wogy was bad ,0
  fuck you  block me  you faggot pussy ,1
attacking another editor  how  i am trying to make a point about how easy it is to edit wikipedia and his piece on george orwell s page proved my point  it is common place for wikipedians to help each other make better and a lot lesser bias edits and that is all i was trying to do  so if you wouldn t mind  please could you remove that warning ,0
 please see ref of this article  mentioned by wikipedia for youngest patent holder of india  moreover i mentioned about news latest book about real life heroes  by providing notable reliable reference  do not you feel dna group is reliable notable reference as its page exists on wikipedia  do you really believe that  what ever or who so ever provide information for this article is having bad intentions  in your words sock meatpuppets  did i asked suggested anything from you to edit or write  i am a free man to send information you are a free person to analyse it  are you above wikipedia  when ref of this article  mentioned by wikipedia for youngest patent holder of india for the subject  why you speak in bad words your words verbatim any book or review which repeats the india s youngest patent holder and the youngest disabled patent holder in the world claim that bhati and his supporters are pushing fails as a reliable source  how can you discourage people from sending information  which is relevant  reliable notable ,0
 randroide answers to next step guys  i do not see you taking steps to wikipedia requests for mediation i can not do this job because i always connect from filtered institutional net access  and following those steps could result in new  undesired  controversial truncation of words by the software  i do not want that happenning could you please follow the instructions in the link i provided thank you  randroide answers to new reference by burgas at last we agree on something  of course that the new section is a good idea  the false suicidal terrorists from prisa will also be included there  come on  boys  start writing that section  i do not want all the kudos for myself  the new proposed article is  by now  an effort made only by me  but remember  npov and sources  all the sources  just like me citing el pa  s in the section about the doubts about the genuineness of the th bomb  cheers indeed  a good point  and all the remarks in cope too  and the moral certitudes of mariano rajoy published in el mundo  i agree with you larean  what randroide omits to mention on the section about the th bomb is that he only added balancing references when i insisted that he do so  the original version he created was entirely pov  as is much of the rest of the proposed article  also  all the sources that he added from el pais are only available to subscribers npov it is not  you are right  southofwatford  in your randroide omits  section if you have not subscription to el pa  s i am sorry but that  s your problem  my institutional access also has some advantages  like paid access to el pa  s and many  many other publications and books that  s one of the reasons for my exclusive use of filtered internet acces  it  s much easier for me to work here due to the easy availability of sources do you see the truncation of words is offsett  i think  by better sources btw  if you write under a randroide answers section you are  invading my space  i do not mind  really  but you are doing it  risking new truncations on your messages  to avoid this  please write outside randroide answers sections if you think that the proposed article is pov  work in it to make it npov  the article is not mine i ll take the risk of you truncating the reply and put it here  it s very short  the issue is not whether i subscribe to el pa  s  its whether the people who read an article in the english wikipedia subscribe to it  all sources used should be accessible to all readers of the article  putting in a source that readers will not be able to see just so you can claim the article is npov is  to my mind  completely unreasonable  all sources used should be accessible to all readers of the article  very funny  southofwatford  i am going to follow this joke of yours please propose also the deletion of all books as sources  because  did you know there is always someone without this or that book  delete all references to tv or radio stations  because that user in brazil has no tv and no radio at home  delete all the references in spanish  because  did you know there are users who know no spanish it  s a pleasure to read this kind of funny jokes  really  i had a good laugh user southofwatford  how strange that you should find it so funny  after all most of the sources we are providing should enable users to find out more information about what is being sourced  so to deliberately choose sources that require those users to pay to see the information is not funny  it s simply bizarre  equally  in the english wikipedia i would argue that choosing a spanish or other foreign language source when an equally valid source exists in english does not make sense  except perhaps to those who are too busy laughing your cynicism is evident in your response ,0
hence why i removed it  content of that nature is not suitable for wikipedia  proscribed by wp not  but perhaps for one of its sister projects  such as wikia ,0
pirating incident i ve removed this statenment as it doesn t really relate to the episode much  plus it s kinda off topic ,0
and check this out  http w cla purdue edu blackmon cs critical html bio,0
kill all  nigger  s  i have hard  that others have said this should this be included  that racists sometimes say these ,1
new user hello gogo dodo i am a new user on wikipedia and just wanted to ask if my new page could be removed from the deletion list my new page is kaburst and i still have a lot i want to do with it i think the reason it was considered is because it starts off like it should be in wiktionary but yeah just give me some time to make it better thanks ,0
regarding edits made during december utc  to jos mourinho thank you for experimenting with  wikipedia  your test worked  and it has been reverted or removed  please use the sandbox for any other tests you may want to do  take a look at the welcome page to learn more about contributing to our encyclopedia  if this is an ip address  and it is shared by multiple users  ignore this warning if you did not make any unconstructive edits ,0
 december hello  and welcome  although everyone is welcome to contribute  at least one of your recent edits  such as the one you made to smoke bomb with this edit  did not appear to be constructive  and has been reverted or removed  thank you ,0
 you are wrong  although i was  block  on some occasions  i was never  block  for sockpuppetry or vandalism  it was because of disputes on multiple topics with various socks of user hkelkar user vandalpetrol  both of which are permabanned  i have never used any other account  if you are permitted to edit then you should get other accounts deleted which says you are indeffed no blast ,0
i only deleted personal attacks,0
please  please  continue tell me what you really think ,0
 an important message block me  i can live with it the mess that s being made of parker v district of columbia is why wikipedia can t rise above the level of a sophisticated blog the controversy section doesn t belong there in the first place  and the fact that you and other non experts are issuing warnings indicates wikipedia has become a sandbox for idiot  s sorry i can t be more polite  but that s the long and short of it  ,0
i m moving this to the talk page ,0
  very well  i see that consensus has formed to show that they are indeed not pov but bad judgement on my part  thanks for the comments anyway coldplay exp  rt let s talk  ,0
http w users bigpond com montdale page  html  heritage from village in macedonian sources claim that the village was pure slavic ,0
  the organization of sub topics  culture is thrown way down towards the end  after economy and tourism  which is inappropriate  the information section is unnecessarily loaded with history and detailed geography  which makes it not only uninteresting  but also repetitive  information is interspersed all through the sub sections  without regard to whether or not they fit there  eg  the geography section starts with the fact that up is the  th largest state  that is not strictly geography  and belongs in the introduction  climate belongs towards the latter part of the page  perhaps before toursim  regions and cities is not such an interesting combination  in any case  cities of uttar pradesh can be an interesting topic on its own  because  up has several interesting cities  and regions  each with specialities of its own  like the copperware of moradabad  ceramics of khurja and carpets of bhadohi in fact i remember there used to be such information in the article before  ,0
i don t know the answer to this  but  legally  how is it possible for a private citizen to violate another private citizen s civil rights  i don t know if this is the section nelson was charged under in the federal case  but if anyone could explain this  i would appreciate it you can argue whether or not the outcome of the state murder trial was justified  that s really not my concern here  since it s a dead letter i m concerned about whether the subsequent civil rights prosecution was legal if the state murder acquittal was a miscarriage of justice  it s not the first time look at issei sagawa part of having a mature understanding of this sort of thing is to realize that the criminal justice system isn t perfect  and that it is inevitable that innocent people will be convicted  and that guilty people will be acquited  from time to time that s the price you pay for having a legal system  in the end someone has to make the decision  and sometimes they may not necessarily get it right i don t think it s going out on a limb to say that the sagawa case is completely beyond all reasonable belief ,0
burn deck if that d guy s burn deck is like what i think it is than he is in for a blrude awakening  leviathan mother  fuck  er ,1
decesed group members i ve seen a few articles where band members have their name  sollowed by  deceased whats wrong witht that it s just a little extra information for people who do not already know this surely this is the main reason such the articles exist in the first place  or even why the whole wikipedia site exists what s so bad about adding this word after people s names if they are no longer with us it is factual  non opinionative and does not slate them in anyway ,0
fatima bint asad  i noticed you added a large chunk to this article recently  could you post your sources  webpages  books  etc  it would be really helpful  thanks july utc ,0
 i added information about mayor de blasio s announced decisions about charter schools but someone removed the factual information because they said it was not referenced it was factual but not referenced  i tired to add the information again with references but was not successful  i correctly added the race and  sex ity of chirlane mccray once but someone  the same person who removed the factual information i provided under charter schools  was incredibly rude and stated it was vandalism and reported it how can this be and why are these descriptions considered negative who decides what is reverted on chirlane mccray s own wikipedia site the word black i prefer african american  is mentioned six times and her  sex ity is mentioned over and over again  these are not assertions at all and can be referenced by an approved wikipedia site and chirlane mccray s own important writings what is the problem  ,0
please stop adding nonsense to wikipedia  it is considered vandalism  if you would like to experiment  use the sandbox  thank you ,0
well i will use my user page then  don t tell meyour gonna remove it too  because that will piss me off and drive me nuts  also i am not making a personal ttack on jimmy wales  i am saying he is a bit to greedy dont you think  he s got million dollars already and now he s asking for more ,0
i thought i would offer you some advise aswell no wikipedia edit warring no arguing with wikipedia administrators may i also remind you of the three revert rule,0
u r a tw fuck off u  gay  boy u r smelly fuck ur mum poopie,1
its also expressly against guidelines to sneak in disallowed links in the discussion section  as froman has done with his youtube propaganda link above  but as evidenced throughout this page  the rules don t seem to be applied to froman  why don t you just go whole hog and add it to feith s main page  there are plenty of unencyclopedic sources there now and no admin seems to have a problem with any link  anonymous  left wing  blogs  w hate ver you care to use seems to be fair game for froman ,0
 deletion of account ok blueboy  editing from l g ng l has been disabled by blueboy for the following reason s came back from hour block and picked it right back up again and judging by history  not likely to get it for this this is to call attention to a topic which was resolved before any of the matters were addressed there are moderators deleting wikipedia history items  and moderator borgqueen s edit of cuisine of hawaii was simply a provocation and nothing more i am a reknowned chef of pacific rim cuisine  and the cuisine of hawaii  and the cuisine of hawaii is not local plate lunch that is like saying the cuisine of mexico is frozen burritos  or that the cuisine of canada is starbucks pastries  or that the cuisine of america is mcdonald s  its slanderous  vicious  and spiteful the main point here is why did the admin in question delete the history and no  it is not resolved until that problem is addressed and i tried discussing it with that user directly and my account was locked  that user is not open for discussion or ddebate  that admin suffers the god complex  and lovcked me from even editing my own page  hence the reason i had to wait to be unbanned to post here  and i am not leving here to back and become corrupt admin fodder back aon the topic page until thius matter is resolved between borgqueen and myself as i i will not subjegate myself to any further discrimination  hazing  or personal vendettas not likely to get it eh buddy listen up  you will delete my user page and account from the wiki  grommet  you are not going to lock me and keep my name  content or profile i am out of this facade which is wikipedia for good delete it all  now  grommet ,0
 listas sabina of bavaria,0
bad redirect  please remove the redirect from the x c page  that aircraft was distinctly different in design  builder  mission  etc  and restore that aircrafts unique content to its page ,0
more info  thanks for entering this article  there are a few errors  which i have corrected  it would have been nice if you had not simply cut and pasted the text from the clear lake article ,0
his name was troy tedford  not troy telford  i am looking at his orginal discharge papers right now  i also have his orginal purple heart with olc  the man was a war hero in the biggest world war ever  i myself am a historian  history degree recieved dec of from atu ,0
it is interesting to note that both aircraft landed at the same airfield in hawaii ,0
thanks for fixing that  again an exquisite picture ,0
  and i would like to clamp down on them,0
  and man has also created new words even after modern languages have already been established,0
  it s in the history  or more conveniently in your own contribs  thank you for the explanation  but that wasn t a big deal  i was more upset by your second post waving me off with a sneer about growing a thicker skin and a finger waggle about profanity treating me as an insensate piece of internet polemic rather than a fellow human attempting to give an honest account of herself  an account which mackensen promptly removed  as you say  well  i understand that trying to contribute to the workshop was a bad idea in the first place running full tilt into tony sidaway  after managing to avoid him on irc for a whole month  to the immeasureable improvement of my quality of life  anyway  i ve always seen you as somebody who stands up for the underdog i remember praising your addition of this edit to the harassment guideline and i was sad to see there was no mutuality of respect  talk ,0
some type and are on a soap box,0
  yes they are indeed i ve replaced that second one with a summary of women s rights  talk  ,0
  anyone can do an in text search for and and see the article does not rely mainly on one source  the publisher in fact  the grand total of two citations referencing the publisher are for pure facts issues such as the number of items that are in the parts library,0
gore response can anybody find gore s response to bush s malaprop  why didn t gore  as the inventor of the darn thing  club him silly after that one ,0
pls give a reply  yes or no ,0
 neither of the two added cites support the assertion misconception  hyphens and dashes are the same glyphs it remains unsourced  and as near as i can tell there s only one person making this claim  despite all the claims of consensus unsourced material gets removed that s wiki policy  i ve given you a month to find a source or reword the entry so that it reflects what the sources actually say i m restoring the citation needed tag  and if there s no source in a day or so the entry will be removed  ,0
  a short summary of referencing essentials faqs for organizations i noticed you ve also disclosed an association with frank on your userpage  thanks for that  it makes working with you and knowing where you re coming from a lot easier  if you have any questions about my review of your article  do feel free to leave me a message or send me an email  cheers  sonia ,0
for your information  you have already been reported fair minded talk about yourself and your refusal to allow for relevant information  which is factual  from being posted you are obviously the biased party  and an inappropriate representative for wikipedia ,0
same for file seankilpatrick jpg and file connorbarwincincy png,0
y r we doing this  pat,0
  thanks for the copy edit  omg it reads so professional  i appreciate it a lot  yeah  i knew that that would be a problem  okay  here s the back story to it  danny had body paint while he was a robot during a sketch  during the after party  in which the theme was a black light one  everybody could see that danny still had paint on him  as it hadn t washed off or something  to be sure  jack had a black light switch in his apartment  and when liz came in  he turned it on  which resulted in liz having the paint all over her  see here  or if w hate ver i just said doesn t make sense  read here and here  about the paint still on danny and the black light attack yeah  i thought maybe if people saw that  the ga note  they won t leave me a message  though  that didn t work  as a user left me a message regarding an article i reviewed  this has to work in the future  i m a have to make it better  i still haven t gotten the chance to see it  but i have to see it  i need to know what happened and stuff  well  after i got the news that he lost  i started watching his dvd and telling myself that i ll never see his wrestling moves again  i didn t cry  i  was just sad  the night on raw  i lost it and cried  w hate ver  i didn t think that was cool  shawn didn t mind  but i did  not really  i still don t see that face like quality to him  i think they ll play randy out like triple h  you know  good with the crowd  but still have him heel ish maybe cause all the new people are heel and they need some faces  who knows  speaking of randy  today s his birthday  turned well  if you remember  his first punted victim was shawn  so  nice to see that he did that to cody  all in the storyline  nici  you are welcome for danielson and miz  i guess  hit ,0
  if width style background  trans parent width style background color style width border  px solid background color vertical align top hello  lceliku  and welcome to wikipedia  please remember to sign your name on talk pages by clicking  or using four tildes this will automatically produce your username and the date  also  please do your best to always fill in the edit summary field  below are some useful links to facilitate your involvement  happy editing  width style background color style width border background color vertical align top getting started introduction  the five pillars of wikipedia  how to edit a page  intuitive guide to wikipedia finding your way around table of contents  department directory editing articles how to develop an article  manual of style  style width border background color vertical align top width cellpadding style vertical align top  background color getting help style color frequently asked questions  cheatsheet  where to ask a question  help pages  new contributors  help page  article wizard a wizard to help you create articles ,0
 i don t know how that got to be but i m a big supporter of the x files and i ve like seen almost every episode and not once did it mention mulder being the father of scull y baby can t have watched very carefully can you  william being mulder s son is frequently referenced to in the final episode  just off the top of my head guard what are you thinking about mulder my son  his mother  scully our son  mulder  i gave him up  our son  i was so afraid you could never forgive me  not to mention the meaningful looks that mulder and scully give each other when the officiator at the hearing asks  agent scully  isn t it true that you and mulder were lovers  and you got pregnant and had his love child ,0
citation r  f  saumur v  the city of quebec s c r endorsement rosemary decaires,0
education please keep the list of colleges in pittsburgh a list of colleges in pittsburgh if you are not familar with the area  don t edit this list greensburg  washington  mccandless  and california are not in pittsburgh please don t be offended when i enforce this also  a pittsburgh mailing address does not mean that the school is in pittsburgh the address extends far  in some place a minute ride away thanks ,0
  until you find the way to put the cites that were in the page back i am throught here ,0
we descendants of otman baba trough mehmed ali karako are sunni muslim s and not alevis ,0
could you clarify do you want me to start an rfc i don t see that one was listed in the page history of talk rasmussen reports ,0
atheism is full of bias  shit ,1
 you beat me to it  just wanted to say good work for beating me to the revert on the ned kelly article  i always enjoy it when i know someone else is on the hunt for vandals  happy hunting  cheers pro  ,0
you removed the link to the same references used in the health study which say that a reduced use of the mmr vaccine is why waldorf kids have fewer allergies from the section on immunizations wtf would data from the whole of california count for you the private and public waldorf schools in california have  personal belief exemption  rates of to of their kindergarten classes regardless of what the official position is and i assert here  but would not do so in the article  that the  official  position was a lie in order for waldorf education to not appear like a complete cult waldorf students are grossly under vaccinated that fact should be in the article ,0
thanks for that  i ll take a deep breath and have a go at an intro tomorrow  i identified the source of the phrase london over the border  and showed that the boundary is contested in the footnote  i ve clarified the diaspora section  and will justify the statements by reference to the victoria history articles on west ham and east ham  hopefully  i ll struggle to a justification without substantially changing the outcome of the previous discussions  then move onto to standardising the references  probably section by section ,0
german article of the day  dear jimbo  german wikipedia is proud to present the article of the day  http de wikipedia org wiki wikipedia hauptseite really thrilling  really amazing  worth a glimpse  http de wikipedia org wiki fremdk c  b rper in anus und rektum you might improve your german reading it  there s a lot to learn yours sincerly,0
i agree  like i aready have stated  that this is peripheral to main article  but nevertheless important because i merely underlienes the mythomania propagated by both sides  my only interest here is historical reality  dab  why don t you actually analyze the situation rather than offerring your usual smart alec remarks  lontech s arguements have been shot to pieces summarily  and everytime this happens  he engages in tangential and irrational behaviour  commonsense will tell you there was no long lasting state or kingdom in dardania before roman times  we can t just allow the intro paragraph to read like some kla recruiting web site,0
i found one sort of  anyhow the web site for jew sforlife org isn t loading  but i have an article from them in a catholic source i m going to remove the erroneous sentence now  in hindsight  it would have been great if this minor content issue could have been resolved with references in the first place ,0
 i have provided plenty of reference materials yet you have provided none  all writings in chamar section have comes from sources that are verifiable  yet you have provided none  you are the one with the eccentric idiology you still have not provided any verifiable sources to show that ramdasia and chamar are different  chamars that took up weaving are known as ramdasia s  a simple google search on ramdasia chamar will provide you with countless links  bal ,0
block evading ip  block guy ,0
i see that it has a number of  citations on pubmed ,0
hey why you are spreading misconceptions and trying to spread false information to the people you not even know who won the battle and who lost you are the cheapest person on the earth bloody ignorant fool check sources before spreading rumors,1
i should add here  for any admin considering that i was  block  for hours by user sarek of vulcan weeks ago  so there is more background if thats relevant  and i should have learned my lesson then pax  talk ,0
change of username  usurpations request  request still in progress  mb m mmitra hi  i have requested for change of username using usurpations from mb m mmitra  it s almost days from the date of request but still it shows in progress  i would like to know how much time does it takes to complete the request and how long would it take to complete  please reply as soon as possible  thank you link  mb m mmitra,0
 utc december,0
because otherwise is pov  look at flemish  linguistics  case ,0
yes  mainsprings are used in  some  clocks as well  please feel free to be bold and help improve the article ,0
 getting normal term is used by a german politician by the way  i got it from there ,0
keep the original title at xbox  although you can have additional likes like xbox and x box that redirect to this article ,0
 and you are  let me know when you ve crawled out of their arses  dick laurent is dead  ,1
the problem is that people keep trying to state that bsas policies are this and that there is no policy that says homo sex  scouts cannot be members to state otherwise is a lie and or just be it is a contraversy page doesn t allow you state lies or add or  you can list things as misinterpretations of the rules and things like that but it you try to say scouting does this or scouting does that then you need to be sure scouting actually says that even the misinterpretations of the rules need sources just because an editor might misinterprete the rules doesn t mean anyone in mainstream has can you find a source for somewhere where a homo sex  youth was removed from the program just for being a openly homo sex  youth then insert it unless you have it or an actual policy from bsa that says you can t be an openly homo sex  youth member then what is being added is or ,0
 level message hello  and thank you for experimenting with  wikipedia  your test worked  and it has been reverted or removed  please use the sandbox for any other tests you may wish to do  i encourage you to also take a look at the welcome page to learn more about contributing to our encyclopedia  thank you for your interest in wikipedia  ,0
i m focussing on doing science at the moment  leading the revolution ,0
another question  does this style information stripping occur only whenever a shape itself is edited  or for less intrusive edits  such as moving a shape around  if even highlighting and selecting the shape in inkscape makes it unusable  then i shouldn t even be messing with inkscape at all ,0
article about ed morrissey hi  i ve just moved our article about ed morrissey and captain s quarters to ed morrissey  and started bringing it up to date  would you be able to take a look at it and  please fix any defects you spot  thanks  cwc,0
i can see that you have been running around several talk pages accusing me and several others of edit wars  please go on and prove the same or else you will be the first one to be  block moreover  you cannot prove your pov and when defeated  going around making accusations is a good way out  communist ,0
yes  i received the confirmation e mail on with username my e mail address  and password  uh  it was ,0
i am currently  block  from editing so i will be unable to add that tag  however i did take that picture ,0
this user is such a worthless goddamn faggot fuck you faggot  ,1
it s an unsourced aesthetic opinion  and therefore violates wp nor and or wp npov ,0
 image popclassic jpg i have tagged image popclassic jpg as because it does not provide a fair use rationale if you believe the image to be acceptable for fair use according to wikipedia policy  please provide a rationale explaining as much  in accordance with the fair use rationale guideline  on the image description page please also consider using  or one of the other tags listed at wikipedia image copyright tags fair use thank you  man  ,0
  fuck off  you are not an administrator  you don t have the authority to tell me what to do ,1
  how adorably disingenuous  ,0
well you are ridiculous  in fact i suspect that you are calton  please block me  i dont care ,1
 orangemike time to move on to collateral targets i suggest user fisherqueen  the girl who protected him  ,0
windows phone upgradeability hi gregory i reverted your change on the windows phone article neither microsoft nor its partners have made any official statements on whether devices running windows phone will be upgradeable to windows phone the references given by another user are blogs that are relying on hearsay ,0
btw w hate ver decision an adminstration wish to take  he should remember that this block is too harsh given that it is his first violation since he joined wikipedia ,0
i ve tried to be as objective as possible  and treat the author in my head as someone who s first tongue is not english i think davies is borderline notable  but the article is not i spent an hour googling davies earlier today and found nothing except that he has  trans lated a lot of stuff well  i have done a lot of stuff in my life i m even borderline notable in a small field  but nothing to warrant an article on me  especially one that precisley nothing links to like this one frankly i hope the author just makes it notable i ll respond to him with gentlemanly politesse  but i can t help him any further ,0
 shiny things what a brilliant idea barnstar for actively seeking every possible way to help other users  especially those i honestly didn t think would work but did  i hereby award c ,0
will you make the change to both engineering articles ,0
thanks  and i apologize for my comment i d like you to know that i understand your position nov utc ,0
appearance in historical fiction the young richard steele appears as a character in william makepeace thackeray s novel henry esmond is this appropriate to mention in the article  do y all reckon ,0
cu and scibaby  why are you wasting time cuing scibaby accounts which are wp duck i am just indef blocking them on sight but the cu request makes reference to some politics which i don t know about talk,0
 per wp ae  you have been  block  indefinitely for persistent disruption to the project  including vandalism  disruptive editing and sock puppetry  as per wikipedia requests for arbitration macedonia discretionary sanctions  if you believe this block is unjustified  please request one in the normal manner  talk ,0
 i m sure if you worked on articles other than arcayne you d do fine  you two seem to have a problem with each other  so why do you seek him out and edit where he does xenotalk  ,0
 fuck you fuck you award go fuck yourself ,1
sorry about the edit conflict  i m glad you were able to salvage my edits  as to your question about structuring  yes i think we will have to think of a way to divide the article into sections and subsections  also the intro may need some fleshing out before confronting the reader with technical terms like dendrite and axon  i will look at it  smithfarm apr utc very cool  happy to hear you are still on the article  i will also do some research to extend it talk  contr apr utc ,0
february utc  comment did the proposal change or something  someone added requested move banner to this section  when it s clearly not one ,0
best clans in runescape the gladiatorz been the best clan in rs for years now the  clan the british elites damage inc an average clan ,0
i don t even know where to begin on replying to talk,0
 please do not vandalize pages  as you did with this edit to hyperopia  if you continue to do so  you will be  block  from editing  fisto  ,0
keep your eye on it  no one cares  ok  people can put what they want on here  and clean it up all you want but no one cares  god  you re so freakin  stupid  om nigger  n,1
the episode list to keep the episode list above the references ,0
over the next hours or so,0
 s rant  presently  we are witnessing  an open war against croatian dinaric culture croatian left often portrays this culture as primitive and rural even fashist being  in  service of conservative hdz party  croatian writer predrag raos  for instance  performed on gusle instrument in zagreb on several occasions this year with only one intention to ridicule the same instrument and its rich poetic tradition  another apostle of croatian left miljenko jergovi refers to his political opponents on the right as gusle players some even claim the serbian origin of croatian dinaric culture following the line of traditional greater serbian propagabda  all tokavian people and their culture are serbian however  croatian dinaric folklore and its rich gusle heritage is primarly croatian  dalmatian costal region has been historically associated with this culture  for example  the first written document about the most popular folk hero of traditional gusle music  marko kraljevi is associated with dalmatian island hvar through petar hektorovi s book ribanje i ribarsko prigovaranje also  the first historical document which mentioned gusle player and its instrument originated in  dubrovnik even now  a contemporary croatian writer  born in dubrovnik  stijepo mijovi ko  an tells us a story about his uncle  also from dubrovnik area  who could memorize numerous gusle songs  stijepo mijovi ko  an  gusle  glasnik  may p dubrovnik is also a home of anica begin  born kalafatovi a daughter of famous gusle player ante  although illiterate  she was able to recite by heart an immense number of gusle songs  some of which were recorded in antology of croatian folk poetry  not far from dubrovnik  another coastal city makarska was  also a bastion of croatian gusle music  actually  this region could be considered the capital of all croatian gusle players  this mediterranean area  also gave birth to  andrija ka  i mio  i th century catholic priest who is  viewed as the father of all gusle players of croatia and beyond  to honour ka  i s work  ivan me  trovi the most famous croatian sculptor  built a sculpture in america showing ka  i in his priestly clothes  playing gusle instrument  in addition to ka  i makarska littoral produced a great many other followers of croatian gusle music  according to dr  fra karlo juri  i who quotes the work of croatian folklorist stipan banovi zaostrog alone  produced a great number of gusle players starting with stipan kosovi kudri and culminating with the most known mate banovi trli as for dalmatian women  they didn t play gusle  it s considered a male activity only yet they were actively involved in spreading  gusle music  by  imitating its sound  olinko delorko  the researcher of  dalmatian  folk poetry in the s  states in his book ljuba ivanova that most of his dalmatian folk poetry collection was obtained by  women  especially the ones from the island of hvar  the zadar littoral also witnessed strong gusle tradition  english writer maude m  holbach  travelling through zadar region in the first decade of th century  states in her book dalmatia  the land where east meets west that the gusle was the national instrument of the region  as for dinaric dances  which took place at markets and certain festivals  they  are very picturesque and interesting  and worth going a long way to see  being a survival of ancient custom probably unique in europe  p this admiration for dinaric folk music  particularly gusle  was seen in both dalmatian litteral and  hinterland matija murko  the researcher of this literary music forms had reported that during his trips  through dalmatia in the s  he saw a child  barely three years old playing gusle  eduard osrede  ki hrvatske narodne juna  ke pjesme eljezno be p now  lets  take a look at  the names of some dalmatian sports clubs and organizations  hajduk  junak  gusar  alkar  uskok  sinjska alka  etc  what do they have in common  of course  their names refer to the heroic gusle tradition of the region  having this in mind  one wonders why this proud croatian heritage has become almost  extinct why do we have so few gusle players today is it a  result of  unavoidable urbanization  of  modern croatian society where peasant culture is being considered  inferior to global  rock  n  roll  culture if so  why has tamburitza music of northern croatia  gained wide acceptance from the croatian establishment while its  dinaric counterpart  gusle music  is looked upon with suspicion and  open hatre,0
the total population millions  does not match with the e sum of the referenced populationsbelow in the infoboximages in infobox,0
to a convicted felon,0
matt hardy is so fuck  y italic text  media example ogg matt hardy is so fuck  y ,1
lol censorship  you re really disappointed that npov is a core policy  aren t you talk contribs ,0
mfd nomination of wikipedia try your best wikipedia try your best  a page you substantially contributed to  has been nominated for deletion  your opinions on the matter are welcome  please participate in the discussion by adding your comments at wikipedia miscellany for deletion wikipedia try your best  and please be sure to sign your comments with four tildes you are free to edit the content of wikipedia try your best during the discussion but should not remove the miscellany for deletion template from the top of the page  such a removal will not end the deletion discussion thank you  contributions talk,0
redirect talk list of south carolina stingrays seasons,0
who cares  if i was  block  on myspace or pulse music board  then i would be more concerned ,0
http w theatlantic com entertainment archive linsanity how the internet made jeremy lin a star in less than a week source explaining why he is a star ,0
god is dead i don t mean to startle anyone but god is dead  we should not worry about him anymore  just thought i would let everyone know  well  goodbye and good luck with your newfound crisis of faith ,1
hello i am back bongwarrior s user page will be attacked in minute ,0
 i m always on the requests for page protection if i detect any missing errant templates to see if the administrators can correct them  ,0
unsure at this stage its not very clear what wording is actually being discussed ,0
 marvin kitman s don t make me laugh doesn t appear to exist the citation for much of the early history of the laugh track appears not to exist  the publication  channels of communication  doesn t exist in the three journal databases i ve searched  ,0
have you seen the reference to their claim  you moron this is not a source  it  s their pov  once i have more time i will reduce your pashtun nationalist povs here on wiki and give order to my uncles and cousins the execution of pashtuns in the entire northern afghanistan down to gardez  jalalabad  lashkargah  logar  paghman  laghman  kunduz  herat  farah whereever immigrant descandants of violent kuchis settled and took non pashtun lands away and traditional tajik countries ,1
 rfa question  simply curious  what is the question you intended to submit here talk  ,0
when you say irrigiation structure  what exactly do you mean  i live on an irrigated block which uses overhead sprinkers  and i m not far from the nearest channel  thye all look the same throughout sunraysia  i ve got a little spare time now to grab some more shots  though i don t think i ll get out as far as dareton  got any requests talk,0
this wiil be my last use of this acount please delete it  ,0
 rr violation by patrickflaherty  user user patrickflaherty is reverting a sourced post  he is also violating the  rr for raila odinga,0
 i wasnt really attacking him her regarding the lisa williams article  hmpz do you know if lisa can see dead people too  i have psychic powers too you know  i can see the future  send all these lisa williams to finland and they will all be locked in jails for being scam artists  ,0
yes  there is definite value in documenting the scientific instrument module  but i don t believe it belongs with the service module sectors subsection it is really a payload and not actually part of the spacecraft services  so it interrupts the flow i plan to move it to the apollo program  mission types section where i think it really belongs  when i edit the sectors subsection to improve the wording flow a bit ,0
thank you  hei  it s me  the william hope fan  guess what i am back at a new ip  ready to vandalize everything regarding william hope  and you can t do sh t to stop me  maybe delay me  but no stopping me  so lets salute to some more william hope lunacy by shoving his p nis in my mouth ,1
  yes  quite persistent  i m about to just create the article myself  other new users are going to get lost in this discussion t c  ,0
  fuck you  user the bohemian shinobis yeah  that s right bitch you are all pieces of  shit  ,1
  yes  it looks much better than before  at the top of the page  it says this article needs additional citations for verification may be britannica encyclopedia could help adding citations  i dunno  cheers  ,0
okay  i ll give it another whirl via email if worst comes to worst  i e  if i do not get a reply soon  than i can always just use new accounts if i am ignored and that way it will just keep those who have been stalking me tied down busy chasing me around rather than trying to delete content take care ,0
north eastern region of jharkhand wiki says north eastern region of jharkhand is angika region however  official language of theses districts of jharkhand is not angika but hindi  santali this is confusing so  it needs some clarification as to how come district of jharkhand where the official language is hindi  santali could be angika region only those districts would be in angika region where official language is angika  ,0
